,objid,class
0,1237650000000000000,STAR
1,1237650000000000000,STAR
2,1237650000000000000,GALAXY
3,1237650000000000000,STAR
4,1237650000000000000,STAR
5,1237650000000000000,STAR
6,1237650000000000000,GALAXY
7,1237650000000000000,STAR
8,1237650000000000000,STAR
9,1237650000000000000,GALAXY
10,1237650000000000000,STAR
11,1237650000000000000,STAR
12,1237650000000000000,STAR
13,1237650000000000000,STAR
14,1237650000000000000,GALAXY
15,1237650000000000000,QSO
16,1237650000000000000,STAR
17,1237650000000000000,QSO
18,1237650000000000000,STAR
19,1237650000000000000,GALAXY
20,1237650000000000000,STAR
21,1237650000000000000,STAR
22,1237650000000000000,QSO
23,1237650000000000000,STAR
24,1237650000000000000,STAR
25,1237650000000000000,GALAXY
26,1237650000000000000,GALAXY
27,1237650000000000000,STAR
28,1237650000000000000,STAR
29,1237650000000000000,STAR
30,1237650000000000000,GALAXY
31,1237650000000000000,GALAXY
32,1237650000000000000,STAR
33,1237650000000000000,STAR
34,1237650000000000000,STAR
35,1237650000000000000,STAR
36,1237650000000000000,STAR
37,1237650000000000000,GALAXY
38,1237650000000000000,STAR
39,1237650000000000000,STAR
40,1237650000000000000,STAR
41,1237650000000000000,STAR
42,1237650000000000000,STAR
43,1237650000000000000,GALAXY
44,1237650000000000000,GALAXY
45,1237650000000000000,QSO
46,1237650000000000000,STAR
47,1237650000000000000,GALAXY
48,1237650000000000000,STAR
49,1237650000000000000,STAR
50,1237650000000000000,STAR
51,1237650000000000000,GALAXY
52,1237650000000000000,GALAXY
53,1237650000000000000,GALAXY
54,1237650000000000000,STAR
55,1237650000000000000,GALAXY
56,1237650000000000000,GALAXY
57,1237650000000000000,STAR
58,1237650000000000000,GALAXY
59,1237650000000000000,GALAXY
60,1237650000000000000,GALAXY
61,1237650000000000000,GALAXY
62,1237650000000000000,QSO
63,1237650000000000000,GALAXY
64,1237650000000000000,GALAXY
65,1237650000000000000,GALAXY
66,1237650000000000000,STAR
67,1237650000000000000,STAR
68,1237650000000000000,STAR
69,1237650000000000000,STAR
70,1237650000000000000,STAR
71,1237650000000000000,STAR
72,1237650000000000000,STAR
73,1237650000000000000,GALAXY
74,1237650000000000000,STAR
75,1237650000000000000,GALAXY
76,1237650000000000000,GALAXY
77,1237650000000000000,GALAXY
78,1237650000000000000,GALAXY
79,1237650000000000000,GALAXY
80,1237650000000000000,STAR
81,1237650000000000000,GALAXY
82,1237650000000000000,STAR
83,1237650000000000000,STAR
84,1237650000000000000,STAR
85,1237650000000000000,STAR
86,1237650000000000000,STAR
87,1237650000000000000,GALAXY
88,1237650000000000000,GALAXY
89,1237650000000000000,GALAXY
90,1237650000000000000,GALAXY
91,1237650000000000000,STAR
92,1237650000000000000,STAR
93,1237650000000000000,STAR
94,1237650000000000000,STAR
95,1237650000000000000,STAR
96,1237650000000000000,GALAXY
97,1237650000000000000,GALAXY
98,1237650000000000000,GALAXY
99,1237650000000000000,GALAXY
100,1237650000000000000,GALAXY
101,1237650000000000000,STAR
102,1237650000000000000,STAR
103,1237650000000000000,STAR
104,1237650000000000000,STAR
105,1237650000000000000,STAR
106,1237650000000000000,QSO
107,1237650000000000000,STAR
108,1237650000000000000,STAR
109,1237650000000000000,QSO
110,1237650000000000000,STAR
111,1237650000000000000,STAR
112,1237650000000000000,GALAXY
113,1237650000000000000,GALAXY
114,1237650000000000000,STAR
115,1237650000000000000,STAR
116,1237650000000000000,STAR
117,1237650000000000000,GALAXY
118,1237650000000000000,STAR
119,1237650000000000000,STAR
120,1237650000000000000,STAR
121,1237650000000000000,GALAXY
122,1237650000000000000,STAR
123,1237650000000000000,STAR
124,1237650000000000000,STAR
125,1237650000000000000,GALAXY
126,1237650000000000000,STAR
127,1237650000000000000,STAR
128,1237650000000000000,STAR
129,1237650000000000000,QSO
130,1237650000000000000,STAR
131,1237650000000000000,STAR
132,1237650000000000000,STAR
133,1237650000000000000,STAR
134,1237650000000000000,STAR
135,1237650000000000000,QSO
136,1237650000000000000,GALAXY
137,1237650000000000000,GALAXY
138,1237650000000000000,STAR
139,1237650000000000000,STAR
140,1237650000000000000,STAR
141,1237650000000000000,GALAXY
142,1237650000000000000,STAR
143,1237650000000000000,STAR
144,1237650000000000000,GALAXY
145,1237650000000000000,STAR
146,1237650000000000000,STAR
147,1237650000000000000,GALAXY
148,1237650000000000000,STAR
149,1237650000000000000,STAR
150,1237650000000000000,GALAXY
151,1237650000000000000,STAR
152,1237650000000000000,GALAXY
153,1237650000000000000,GALAXY
154,1237650000000000000,GALAXY
155,1237650000000000000,STAR
156,1237650000000000000,QSO
157,1237650000000000000,STAR
158,1237650000000000000,STAR
159,1237650000000000000,STAR
160,1237650000000000000,QSO
161,1237650000000000000,GALAXY
162,1237650000000000000,GALAXY
163,1237650000000000000,GALAXY
164,1237650000000000000,STAR
165,1237650000000000000,GALAXY
166,1237650000000000000,GALAXY
167,1237650000000000000,STAR
168,1237650000000000000,STAR
169,1237650000000000000,STAR
170,1237650000000000000,STAR
171,1237650000000000000,STAR
172,1237650000000000000,STAR
173,1237650000000000000,STAR
174,1237650000000000000,STAR
175,1237650000000000000,STAR
176,1237650000000000000,STAR
177,1237650000000000000,STAR
178,1237650000000000000,STAR
179,1237650000000000000,STAR
180,1237650000000000000,STAR
181,1237650000000000000,STAR
182,1237650000000000000,STAR
183,1237650000000000000,STAR
184,1237650000000000000,STAR
185,1237650000000000000,GALAXY
